area,team_name,cost,migration,time_score,created_time
杭厦赛区,雅尔塔三巨头,1250352262,0,13.315,2021/03/18
江山赛区,JSSEC_与食俱进,1080524885,126364,91.309,2021/03/24
江山赛区,江山如画,1082005922,126694,93.355,2021/03/22
江山赛区,精神小伙,1082031959,126694,23.947,2021/03/23
江山赛区,团队名称,1083240117,126694,105.505,2021/03/23
江山赛区,小小同学,1088112307,123528,84.265,2021/03/23
江山赛区,猴子来了,1088921306,77912,138.867,2021/03/24
江山赛区,天马行空,1089253610,123477,82.981,2021/03/23
江山赛区,kcolbedoc,1093148879,114005,105.028,2021/03/24
江山赛区,LookXXL,1099574643,93710,110.118,2021/03/21
江山赛区,舌尖岛和黄焖鸡,1101199826,75513,22.278,2021/03/23
江山赛区,996,1102774667,123790,107.814,2021/03/24
江山赛区,直接拿下,1103262701,46303,70.186,2021/03/21
江山赛区,JSSEC_ZXM天下第一,1104759686,58101,171.156,2021/03/24
江山赛区,对不队,1105210148,78683,122.503,2021/03/23
江山赛区,冲冲冲LOL小分队,1107421349,72090,172.319,2021/03/23
江山赛区,利好茅台抄底白酒,1107829310,92804,105.461,2021/03/20
江山赛区,水杯不能放在自己桌子上,1108250514,85357,103.86,2021/03/24
江山赛区,我有腾讯和阿里的offer,1108372739,110689,52.323,2021/03/24
江山赛区,1234567890,1110080806,70970,108.784,2021/03/23
江山赛区,随机种子永远滴神,1112333508,84577,141.242,2021/03/23
江山赛区,楼上大佬求带,1113776409,63355,121.915,2021/03/24
江山赛区,女少虫圭禾中子,1117212484,112439,103.572,2021/03/23
江山赛区,不太会打加一队,1119500707,19231,43.106,2021/03/20
江山赛区,qazwsx,1120185391,126694,79.624,2021/03/24
江山赛区,Debug,1127127215,0,6.338,2021/03/23
江山赛区,这把优化完就删库跑路,1131125592,51064,134.865,2021/03/23
江山赛区,有那么一丝丝道理,1132918639,115072,60.604,2021/03/24
江山赛区,名次可以差名字一定骚的仙女队,1136814984,34763,42.892,2021/03/24
江山赛区,队不队,1139302333,123300,63.02,2021/03/24
江山赛区,yux2,1144612515,36541,38.387,2021/03/20
江山赛区,豪车,1147281963,29720,140.74,2021/03/24
江山赛区,上九楼的快活,1150025213,59479,10.395,2021/03/23
江山赛区,天冷了记得穿秋裤,1150790173,78491,135.976,2021/03/24
江山赛区,随缘算法 脚打代码,1151805811,126188,26.803,2021/03/23
江山赛区,KDF,1153254647,0,4.276,2021/03/24
江山赛区,大山坡最靓的仔,1154703505,0,92.754,2021/03/21
江山赛区,lin_Phantaci,1156174147,126354,25.982,2021/03/19
江山赛区,空指针异常,1156467788,58804,83.798,2021/03/24
江山赛区,从零开始的C艹,1161395790,0,5.006,2021/03/24
江山赛区,中东富豪三人组,1164276517,58731,85.473,2021/03/21
江山赛区,一人饮酒醉,1165411930,38182,97.788,2021/03/24
江山赛区,Cirtrus,1165502424,0,13.982,2021/03/21
江山赛区,Tardis,1166583294,97538,19.597,2021/03/20
江山赛区,武寺陵,1168689861,92937,70.363,2021/03/22
江山赛区,斩妖除魔队,1173035271,0,25.538,2021/03/23
江山赛区,达夫小队,1174292711,0,4.265,2021/03/24
江山赛区,2021@Better,1175966377,45666,28.705,2021/03/24
江山赛区,水不动了,1178952192,7756,145.247,2021/03/21
江山赛区,团队名请尽量简洁,1180245325,50,31.231,2021/03/24
江山赛区,202三叉戟,1180808892,27879,7.028,2021/03/23
江山赛区,为爱冲刺,1180963336,0,14.456,2021/03/24
江山赛区,因为auto我们哭了,1181786356,0,26.592,2021/03/23
江山赛区,啊哈,1184406154,0,41.596,2021/03/24
江山赛区,**斩首,1186924560,0,169.481,2021/03/24
江山赛区,小心二次元,1187629674,17415,119.51,2021/03/23
江山赛区,海大F4,1187814921,0,29.411,2021/03/20
江山赛区,DNXFD2021,1187927333,0,22.336,2021/03/23
江山赛区,64strong守门员,1188136193,0,10.992,2021/03/22
江山赛区,等等灵感,1188349811,373,26.453,2021/03/23
江山赛区,白酒跳楼小分队,1189235873,42180,67.905,2021/03/23
江山赛区,Flipped,1189628711,0,0.802,2021/03/22
江山赛区,九星吞噬鲲,1195880607,0,43.804,2021/03/23
江山赛区,永不加班,1196931247,37615,19.728,2021/03/23
江山赛区,汪汪没想到,1197764720,0,12.195,2021/03/24
江山赛区,排水渠过弯,1198711394,0,5.503,2021/03/23
江山赛区,bdsip,1200451390,0,93.209,2021/03/23
江山赛区,激动的心，颤抖的手,1207921562,0,55.525,2021/03/19
江山赛区,你说我说的对不队,1211510954,0,137.674,2021/03/23
江山赛区,NUAA奇思妙想队,1211878535,0,9.458,2021/03/20
江山赛区,水可载舟亦可赛艇,1216825580,0,19.583,2021/03/21
江山赛区,江山如此多娇,1217926777,0,1.499,2021/03/17
江山赛区,555我能追到她嘛,1218571626,0,4.69,2021/03/22
江山赛区,441,1221408092,0,13.025,2021/03/21
江山赛区,时光蒸汽喵,1226711449,0,92.732,2021/03/22
江山赛区,老潘说的队,1228830668,0,11.693,2021/03/23
江山赛区,干啥啥不行 干饭第一名,1229627380,30166,5.057,2021/03/18
江山赛区,熊出没,1233108897,0,5.767,2021/03/20
江山赛区,njupt_usts,1234084262,0,37.738,2021/03/19
江山赛区,拿了跑路,1261863098,0,8.716,2021/03/22
江山赛区,jsonzb,1277824097,0,6.803,2021/03/11
江山赛区,nuaa20,1280442171,0,3.409,2021/03/18
江山赛区,竹林三剑客,1283087051,0,164.407,2021/03/24
江山赛区,划水划水划划水,1283695140,0,7.739,2021/03/24
江山赛区,敛翮带馀霜,1285206282,0,7.024,2021/03/13
江山赛区,我还有复试啊啊啊啊啊啊,1287746978,0,63.647,2021/03/17
江山赛区,THE2,1287885613,0,47.592,2021/03/24
江山赛区,鼎山汪汪队,1308921923,0,60.392,2021/03/22
江山赛区,求个offer行不行,1325147906,0,3.374,2021/03/22
江山赛区,四季奶青,1330944195,0,4.304,2021/03/24
江山赛区,一拳三个AC怪,1344282016,0,0.76,2021/03/18
江山赛区,写代码要讲武德,1344673511,0,13.417,2021/03/22
江山赛区,每天优化一千万就算胜利,1349863013,11694,6.831,2021/03/17
江山赛区,祖国必然统一,1354050109,80902,1.369,2021/03/19
江山赛区,四面杵鸽,1361863712,0,4.118,2021/03/24
江山赛区,greenHand,1392592642,0,7.848,2021/03/22
江山赛区,涅槃,1392592642,0,8.264,2021/03/22
江山赛区,名字很SAO,1392592642,0,8.277,2021/03/21
江山赛区,院士带队,1392592642,0,8.422,2021/03/24
江山赛区,学长专业带飞,1392592642,0,8.525,2021/03/20
江山赛区,烫烫烫锟斤烤,1392592642,0,8.53,2021/03/22
成渝赛区,magicraft,1070709243,126510,106.4,2021/03/23
成渝赛区,重大干饭人,1082523745,116142,94.112,2021/03/24
成渝赛区,主教2310,1085852909,126659,103.909,2021/03/24
成渝赛区,清水河扛把子,1088402351,126692,81.114,2021/03/21
成渝赛区,Getting Started,1091617638,126694,66.229,2021/03/24
成渝赛区,风流倜傥,1093021288,68433,113.206,2021/03/23
成渝赛区,翡翠湖畔的合欢花,1093665201,89718,99.217,2021/03/24
成渝赛区,今晚开派队,1099962853,94032,36.158,2021/03/24
成渝赛区,UESTC_Afterglow,1100649947,125953,93.782,2021/03/24
成渝赛区,哑巴湖大水怪,1101129554,126694,52.522,2021/03/18
成渝赛区,林湾村男德学院,1102927761,82022,92.325,2021/03/23
成渝赛区,哦豁，没了呀,1104610402,126690,32.099,2021/03/24
成渝赛区,佩奇身上纹,1104717730,126694,82.706,2021/03/23
成渝赛区,灰头土脸歪瓜裂枣奇形怪状,1107078365,53013,159.194,2021/03/23
成渝赛区,UESTC_KB310,1107094498,99753,90.438,2021/03/23
成渝赛区,定义域,1109168139,41667,75.267,2021/03/24
成渝赛区,我和冰冰贴贴,1109322050,30230,55.029,2021/03/24
成渝赛区,The Loop,1109957005,119876,91.235,2021/03/23
成渝赛区,快乐消失了,1112944190,101953,120.305,2021/03/23
成渝赛区,致富团队,1113768486,122137,47.457,2021/03/24
成渝赛区,Out of memory,1114077469,126694,41.463,2021/03/18
成渝赛区,newWorld,1114411152,125582,45.255,2021/03/22
